,id,campaign_id,coupon_id,customer_id,redemption_status,campaign_type,start_date,end_date,age_range,marital_status,rented,family_size,no_of_children,income_bracket,item_id,date,quantity,selling_price,other_discount,coupon_discount,brand,brand_type,category
29760,40421,13,450,15,1,X,2013-05-19,2013-07-05,46-55,Married,0.0,2,,6.0,48803,2013-06-10,1,54.85,0.0,-19.59,145,Established,Pharmaceutical
29761,40421,13,450,15,1,X,2013-05-19,2013-07-05,46-55,Married,0.0,2,,6.0,48803,2013-06-10,1,54.85,0.0,-19.59,145,Established,Pharmaceutical
29767,24489,13,454,453,1,X,2013-05-19,2013-07-05,,,,,,,21191,2013-05-24,1,59.49,-11.4,-35.62,152,Established,Grocery
29768,24489,13,454,453,1,X,2013-05-19,2013-07-05,,,,,,,21191,2013-05-24,1,59.49,-11.4,-35.62,152,Established,Grocery
29770,24489,13,454,453,1,X,2013-05-19,2013-07-05,,,,,,,4723,2013-05-24,1,59.49,-11.4,0.0,152,Established,Grocery
29791,24530,12,819,545,0,Y,2013-04-22,2013-05-24,70+,Married,0.0,3,1,4.0,16548,2013-05-15,1,177.74,0.0,0.0,989,Established,Packaged Meat
29792,24530,12,819,545,0,Y,2013-04-22,2013-05-24,70+,Married,0.0,3,1,4.0,16548,2013-05-23,1,177.74,0.0,0.0,989,Established,Packaged Meat
29793,24531,8,884,900,0,X,2013-02-16,2013-04-05,,,,,,,22021,2013-04-02,1,63.76,-7.12,0.0,1101,Established,Grocery
29795,24546,8,983,59,0,X,2013-02-16,2013-04-05,70+,Single,0.0,1,,4.0,64240,2013-03-15,1,141.77,-64.47,0.0,1337,Established,Grocery
29818,24621,8,672,1463,1,X,2013-02-16,2013-04-05,36-45,Married,0.0,5+,3+,5.0,9645,2013-02-17,3,178.1,0.0,0.0,676,Established,Grocery
29819,24621,8,672,1463,1,X,2013-02-16,2013-04-05,36-45,Married,0.0,5+,3+,5.0,9645,2013-02-23,2,101.16,0.0,-17.81,676,Established,Grocery
29820,24621,8,672,1463,1,X,2013-02-16,2013-04-05,36-45,Married,0.0,5+,3+,5.0,9645,2013-02-23,2,101.16,0.0,-17.81,676,Established,Grocery
29827,48847,26,529,1332,0,X,2012-08-12,2012-09-21,36-45,Married,0.0,2,,8.0,31615,2012-08-27,1,53.43,-42.39,0.0,278,Established,Grocery
29841,24624,28,529,1332,0,Y,2012-09-16,2012-11-16,36-45,Married,0.0,2,,8.0,35894,2012-09-22,1,53.43,-42.39,0.0,278,Established,Grocery
29842,24624,28,529,1332,0,Y,2012-09-16,2012-11-16,36-45,Married,0.0,2,,8.0,35894,2012-10-06,1,71.24,-24.58,0.0,278,Established,Grocery
29843,24624,28,529,1332,0,Y,2012-09-16,2012-11-16,36-45,Married,0.0,2,,8.0,35894,2012-11-03,1,53.43,-42.39,0.0,278,Established,Grocery
29846,48847,26,529,1332,0,X,2012-08-12,2012-09-21,36-45,Married,0.0,2,,8.0,35894,2012-09-06,1,53.43,-42.39,0.0,278,Established,Grocery
29879,24722,30,933,1487,0,X,2012-11-19,2013-01-04,,,,,,,56918,2012-12-13,2,71.24,-5.7,0.0,1143,Established,Grocery
29882,24722,30,933,1487,0,X,2012-11-19,2013-01-04,,,,,,,47452,2012-12-13,1,35.62,-2.85,0.0,1143,Established,Grocery
29887,24722,30,933,1487,0,X,2012-11-19,2013-01-04,,,,,,,26175,2012-12-13,4,142.48,-11.4,0.0,1143,Established,Grocery
29893,24722,30,933,1487,0,X,2012-11-19,2013-01-04,,,,,,,47435,2012-12-13,1,35.62,-2.85,0.0,1143,Established,Grocery
29894,24722,30,933,1487,0,X,2012-11-19,2013-01-04,,,,,,,69098,2012-12-13,1,35.62,-2.85,0.0,1143,Established,Grocery
29897,24726,13,667,1266,0,X,2013-05-19,2013-07-05,,,,,,,36226,2013-06-27,1,501.89,0.0,0.0,673,Established,Pharmaceutical
29908,24726,13,667,1266,0,X,2013-05-19,2013-07-05,,,,,,,34891,2013-06-11,1,195.55,0.0,0.0,673,Established,Pharmaceutical
29918,24754,13,756,8,1,X,2013-05-19,2013-07-05,26-35,,0.0,4,2,6.0,59003,2013-05-27,1,89.05,-53.07,-35.62,864,Established,Grocery
29919,24754,13,756,8,1,X,2013-05-19,2013-07-05,26-35,,0.0,4,2,6.0,59003,2013-05-27,1,89.05,-53.07,-35.62,864,Established,Grocery
29932,24760,11,913,253,0,Y,2013-04-22,2013-06-07,36-45,Married,0.0,3,1,12.0,28375,2013-05-25,1,85.13,0.0,0.0,1134,Established,Grocery
29967,24830,13,157,622,0,X,2013-05-19,2013-07-05,36-45,Married,0.0,4,2,5.0,12311,2013-06-12,1,85.13,0.0,0.0,56,Local,Grocery
29968,24830,13,157,622,0,X,2013-05-19,2013-07-05,36-45,Married,0.0,4,2,5.0,12311,2013-06-29,1,70.88,-14.25,0.0,56,Local,Grocery
29970,24837,30,754,46,1,X,2012-11-19,2013-01-04,,,,,,,15769,2012-11-29,1,106.86,-85.13,-35.62,864,Established,Grocery
29971,24837,30,754,46,1,X,2012-11-19,2013-01-04,,,,,,,15769,2012-11-29,1,106.86,-85.13,-35.62,864,Established,Grocery
29973,24839,12,107,1205,0,Y,2013-04-22,2013-05-24,46-55,,0.0,1,,5.0,21197,2013-05-03,1,28.14,-6.77,0.0,56,Local,Grocery
29974,24839,12,107,1205,0,Y,2013-04-22,2013-05-24,46-55,,0.0,1,,5.0,21197,2013-05-09,1,28.14,-6.77,0.0,56,Local,Grocery
29975,24839,12,107,1205,0,Y,2013-04-22,2013-05-24,46-55,,0.0,1,,5.0,21197,2013-05-15,2,56.28,-13.54,0.0,56,Local,Grocery
29977,24850,13,22,400,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,17151,2013-06-12,2,213.72,-56.28,0.0,939,Established,Grocery
29980,24850,13,22,400,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,16442,2013-05-31,5,178.1,0.0,0.0,939,Established,Grocery
29981,24850,13,22,400,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,16442,2013-06-12,6,213.72,0.0,0.0,939,Established,Grocery
29984,24850,13,22,400,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,15448,2013-05-31,1,35.62,0.0,0.0,939,Established,Grocery
29987,24850,13,22,400,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,15405,2013-05-23,1,89.05,-53.07,0.0,1630,Established,Grocery
29988,24850,13,22,400,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,59170,2013-05-23,1,89.05,-53.07,0.0,1630,Established,Grocery
29993,24850,13,22,400,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,36156,2013-05-31,4,142.48,0.0,0.0,939,Established,Grocery
29994,24850,13,22,400,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,36156,2013-06-12,4,142.48,0.0,0.0,939,Established,Grocery
29995,24850,13,22,400,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,35214,2013-05-23,1,89.05,-53.07,0.0,56,Local,Grocery
29999,24850,13,22,400,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,26713,2013-05-23,1,149.25,0.0,0.0,56,Local,Grocery
30005,24850,13,22,400,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,7715,2013-05-23,1,355.84,0.0,0.0,1030,Established,Grocery
30022,24850,13,22,400,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,53466,2013-05-23,1,195.55,-53.43,0.0,1358,Established,Packaged Meat
30023,24850,13,22,400,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,53466,2013-06-12,1,195.55,-53.43,0.0,1358,Established,Packaged Meat
30025,24850,13,22,400,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,72717,2013-05-31,2,106.86,-5.7,0.0,56,Local,Grocery
30057,24850,13,22,400,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,22883,2013-06-12,3,220.13,0.0,0.0,544,Established,Grocery
30085,24934,30,346,858,0,X,2012-11-19,2013-01-04,,,,,,,30275,2012-12-02,1,59.49,-11.4,0.0,56,Local,Grocery
30088,24934,30,346,858,0,X,2012-11-19,2013-01-04,,,,,,,12017,2012-11-21,1,59.49,-4.27,0.0,56,Local,Grocery
30089,24934,30,346,858,0,X,2012-11-19,2013-01-04,,,,,,,12017,2012-12-20,1,53.43,-10.33,0.0,56,Local,Grocery
30102,24968,26,942,1010,0,X,2012-08-12,2012-09-21,,,,,,,13015,2012-08-16,1,78.01,0.0,0.0,1183,Established,Grocery
30108,24989,30,872,1534,0,X,2012-11-19,2013-01-04,36-45,Married,0.0,3,1,5.0,28731,2012-12-15,1,89.05,-42.39,0.0,1075,Established,Grocery
30130,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,34110,2013-04-03,2,70.53,0.0,0.0,56,Local,Packaged Meat
30133,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,35545,2013-03-26,1,44.52,0.0,0.0,1027,Established,Packaged Meat
30137,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,7423,2013-03-16,2,35.62,-13.54,0.0,56,Local,Packaged Meat
30159,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,33447,2013-03-19,1,127.88,0.0,0.0,1113,Established,Packaged Meat
30160,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,33447,2013-03-26,1,127.88,0.0,0.0,1113,Established,Packaged Meat
30169,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,10146,2013-02-16,2,70.53,-106.86,0.0,1278,Established,Packaged Meat
30171,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,37363,2013-03-26,1,71.24,-6.77,0.0,1278,Established,Packaged Meat
30187,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,64343,2013-02-16,1,105.08,-18.52,0.0,3519,Established,Meat
30191,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,64341,2013-02-16,1,100.8,0.0,0.0,3512,Established,Meat
30195,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,36642,2013-02-24,1,28.14,0.0,0.0,1991,Established,Packaged Meat
30216,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,49840,2013-03-26,1,89.05,-35.26,0.0,989,Established,Packaged Meat
30224,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,25993,2013-03-26,1,142.12,-71.24,0.0,1990,Established,Packaged Meat
30230,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,65974,2013-03-16,2,89.05,0.0,0.0,1990,Established,Packaged Meat
30231,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,65974,2013-03-26,3,133.57,0.0,0.0,1990,Established,Packaged Meat
30236,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,18628,2013-02-16,1,89.05,-17.45,0.0,1990,Established,Packaged Meat
30242,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,18503,2013-02-16,1,89.05,-17.45,0.0,1990,Established,Packaged Meat
30246,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,55921,2013-03-16,1,71.24,-53.07,0.0,350,Established,Packaged Meat
30249,25017,8,8,248,0,X,2013-02-16,2013-04-05,36-45,Single,0.0,1,,3.0,11329,2013-03-26,1,59.49,-11.4,0.0,989,Established,Packaged Meat
30267,25045,13,24,344,0,X,2013-05-19,2013-07-05,,,,,,,28331,2013-06-21,2,198.76,0.0,0.0,56,Local,Meat
30331,25063,13,465,305,1,X,2013-05-19,2013-07-05,,,,,,,26145,2013-05-31,1,59.49,-39.89,-35.62,172,Established,Grocery
30332,25063,13,465,305,1,X,2013-05-19,2013-07-05,,,,,,,26145,2013-05-31,1,59.49,-39.89,-35.62,172,Established,Grocery
30333,25063,13,465,305,1,X,2013-05-19,2013-07-05,,,,,,,19444,2013-05-31,1,59.49,-39.89,0.0,172,Established,Grocery
30340,25063,13,465,305,1,X,2013-05-19,2013-07-05,,,,,,,9133,2013-05-31,1,59.49,-39.89,-35.62,172,Established,Grocery
30341,25063,13,465,305,1,X,2013-05-19,2013-07-05,,,,,,,9133,2013-05-31,1,59.49,-39.89,-35.62,172,Established,Grocery
30345,25066,9,870,898,0,Y,2013-03-11,2013-04-12,36-45,Married,0.0,3,1,4.0,4803,2013-03-15,1,184.87,-35.62,0.0,1075,Established,Grocery
30366,25066,9,870,898,0,Y,2013-03-11,2013-04-12,36-45,Married,0.0,3,1,4.0,23622,2013-03-29,1,89.05,-42.39,0.0,1075,Established,Grocery
30367,25066,9,870,898,0,Y,2013-03-11,2013-04-12,36-45,Married,0.0,3,1,4.0,25872,2013-04-05,2,178.1,-84.78,0.0,1075,Established,Grocery
30370,25066,9,870,898,0,Y,2013-03-11,2013-04-12,36-45,Married,0.0,3,1,4.0,28051,2013-03-22,1,184.87,-35.62,0.0,1075,Established,Grocery
30371,25066,9,870,898,0,Y,2013-03-11,2013-04-12,36-45,Married,0.0,3,1,4.0,28051,2013-04-12,1,184.87,-35.62,0.0,1075,Established,Grocery
30390,25118,8,56,1384,0,X,2013-02-16,2013-04-05,56-70,Single,0.0,1,,3.0,21998,2013-03-08,1,21.02,0.0,0.0,56,Local,Grocery
30412,25118,8,56,1384,0,X,2013-02-16,2013-04-05,56-70,Single,0.0,1,,3.0,19239,2013-03-28,1,21.02,0.0,0.0,56,Local,Grocery
30424,25133,30,945,1415,0,X,2012-11-19,2013-01-04,,,,,,,56677,2012-12-06,2,71.24,-163.14,0.0,1187,Established,Packaged Meat
30425,25133,30,945,1415,0,X,2012-11-19,2013-01-04,,,,,,,56677,2013-01-04,2,117.19,-117.19,0.0,1187,Established,Packaged Meat
30429,25144,9,691,1007,0,Y,2013-03-11,2013-04-12,,,,,,,11748,2013-03-31,1,106.5,0.0,0.0,686,Established,Pharmaceutical
30439,25194,29,1081,943,0,Y,2012-10-08,2012-11-30,,,,,,,48980,2012-10-15,1,142.12,0.0,0.0,2025,Established,Grocery
30446,25203,30,997,368,0,X,2012-11-19,2013-01-04,36-45,,0.0,1,,5.0,53061,2012-12-09,1,177.74,0.0,0.0,2188,Established,Grocery
30485,25209,8,8,461,0,X,2013-02-16,2013-04-05,56-70,,0.0,3,1,2.0,56677,2013-04-04,2,117.19,-117.19,0.0,1187,Established,Packaged Meat
30488,25209,8,8,461,0,X,2013-02-16,2013-04-05,56-70,,0.0,3,1,2.0,33464,2013-03-29,1,35.26,-42.74,0.0,1278,Established,Packaged Meat
30489,25209,8,8,461,0,X,2013-02-16,2013-04-05,56-70,,0.0,3,1,2.0,54697,2013-03-29,1,35.26,-42.74,0.0,1278,Established,Packaged Meat
30505,25209,8,8,461,0,X,2013-02-16,2013-04-05,56-70,,0.0,3,1,2.0,54940,2013-03-14,2,178.1,-106.15,0.0,2020,Established,Packaged Meat
30519,25209,8,8,461,0,X,2013-02-16,2013-04-05,56-70,,0.0,3,1,2.0,35241,2013-03-24,2,71.24,-70.53,0.0,984,Established,Packaged Meat
30524,25209,8,8,461,0,X,2013-02-16,2013-04-05,56-70,,0.0,3,1,2.0,28064,2013-03-24,2,71.24,-70.53,0.0,984,Established,Packaged Meat
30534,25209,8,8,461,0,X,2013-02-16,2013-04-05,56-70,,0.0,3,1,2.0,22635,2013-03-24,2,178.1,-141.77,0.0,702,Established,Packaged Meat
30549,25220,8,465,609,0,X,2013-02-16,2013-04-05,,,,,,,8587,2013-03-28,1,99.38,0.0,0.0,172,Established,Grocery
30564,122422,10,279,367,0,Y,2013-04-08,2013-05-10,36-45,Married,0.0,3,1,6.0,57081,2013-05-10,1,89.05,-17.45,0.0,4412,Established,Pharmaceutical
30565,25247,26,898,265,0,X,2012-08-12,2012-09-21,18-25,Single,0.0,2,,3.0,11683,2012-08-25,1,17.81,-17.45,0.0,1124,Established,Grocery
30585,25282,30,933,1170,0,X,2012-11-19,2013-01-04,36-45,,0.0,1,,2.0,29146,2012-12-27,1,35.62,-2.85,0.0,1143,Established,Grocery
30593,25282,30,933,1170,0,X,2012-11-19,2013-01-04,36-45,,0.0,1,,2.0,47452,2012-12-27,1,35.62,-2.85,0.0,1143,Established,Grocery
30594,25282,30,933,1170,0,X,2012-11-19,2013-01-04,36-45,,0.0,1,,2.0,47452,2013-01-04,2,71.24,-5.7,0.0,1143,Established,Grocery
30607,25282,30,933,1170,0,X,2012-11-19,2013-01-04,36-45,,0.0,1,,2.0,47413,2012-12-27,1,35.62,-2.85,0.0,1143,Established,Grocery
30615,25282,30,933,1170,0,X,2012-11-19,2013-01-04,36-45,,0.0,1,,2.0,34190,2012-12-27,1,35.62,-2.85,0.0,1143,Established,Grocery
30619,25282,30,933,1170,0,X,2012-11-19,2013-01-04,36-45,,0.0,1,,2.0,47435,2013-01-04,1,35.62,-2.85,0.0,1143,Established,Grocery
30623,25282,30,933,1170,0,X,2012-11-19,2013-01-04,36-45,,0.0,1,,2.0,69123,2012-12-27,1,35.62,-2.85,0.0,1143,Established,Grocery
30629,25283,13,144,1494,0,X,2013-05-19,2013-07-05,46-55,,0.0,2,,1.0,33951,2013-06-20,2,71.24,-42.03,0.0,56,Local,Grocery
30656,25321,29,868,569,0,Y,2012-10-08,2012-11-30,46-55,,0.0,1,,9.0,23622,2012-10-16,1,120.75,-10.69,0.0,1075,Established,Grocery
30657,25321,29,868,569,0,Y,2012-10-08,2012-11-30,46-55,,0.0,1,,9.0,23622,2012-11-12,1,120.75,-10.69,0.0,1075,Established,Grocery
30661,25321,29,868,569,0,Y,2012-10-08,2012-11-30,46-55,,0.0,1,,9.0,25872,2012-10-26,1,83.35,-48.09,0.0,1075,Established,Grocery
30678,25373,26,369,275,0,X,2012-08-12,2012-09-21,,,,,,,20806,2012-09-15,2,91.9,-17.81,0.0,56,Local,Grocery
30710,25403,8,661,246,1,X,2013-02-16,2013-04-05,46-55,,0.0,1,,5.0,5984,2013-02-27,1,227.61,-92.61,-35.62,673,Established,Grocery
30711,25403,8,661,246,1,X,2013-02-16,2013-04-05,46-55,,0.0,1,,5.0,5984,2013-02-27,1,227.61,-92.61,-35.62,673,Established,Grocery
30712,25403,8,661,246,1,X,2013-02-16,2013-04-05,46-55,,0.0,1,,5.0,5984,2013-03-15,1,284.6,-35.62,-53.43,673,Established,Grocery
30713,25403,8,661,246,1,X,2013-02-16,2013-04-05,46-55,,0.0,1,,5.0,5984,2013-03-15,1,284.6,-35.62,-53.43,673,Established,Grocery
30742,25433,10,689,625,0,Y,2013-04-08,2013-05-10,,,,,,,72050,2013-04-10,2,754.43,0.0,0.0,686,Established,Pharmaceutical
30753,25441,8,9,416,0,X,2013-02-16,2013-04-05,36-45,Married,1.0,4,2,5.0,68391,2013-02-19,1,21.37,-6.77,0.0,1337,Established,Grocery
30754,25441,8,9,416,0,X,2013-02-16,2013-04-05,36-45,Married,1.0,4,2,5.0,68367,2013-02-19,1,21.37,-6.77,0.0,1337,Established,Grocery
30758,25441,8,9,416,0,X,2013-02-16,2013-04-05,36-45,Married,1.0,4,2,5.0,9535,2013-03-09,1,89.05,-10.33,0.0,1337,Established,Grocery
30768,25441,8,9,416,0,X,2013-02-16,2013-04-05,36-45,Married,1.0,4,2,5.0,17559,2013-03-09,1,67.32,-3.56,0.0,278,Established,Grocery
30771,25441,8,9,416,0,X,2013-02-16,2013-04-05,36-45,Married,1.0,4,2,5.0,6235,2013-03-07,3,80.14,-14.96,0.0,56,Local,Grocery
30772,25441,8,9,416,0,X,2013-02-16,2013-04-05,36-45,Married,1.0,4,2,5.0,7402,2013-03-05,1,95.82,0.0,0.0,56,Local,Grocery
30826,25514,9,705,1329,0,Y,2013-03-11,2013-04-12,36-45,Married,0.0,5+,3+,6.0,63068,2013-03-15,1,89.05,-24.58,0.0,714,Established,Grocery
30828,25514,9,705,1329,0,Y,2013-03-11,2013-04-12,36-45,Married,0.0,5+,3+,6.0,63262,2013-03-29,2,117.55,0.0,0.0,714,Established,Grocery
30829,25514,9,705,1329,0,Y,2013-03-11,2013-04-12,36-45,Married,0.0,5+,3+,6.0,63262,2013-04-07,2,117.55,0.0,0.0,714,Established,Grocery
30836,25532,13,773,1496,1,X,2013-05-19,2013-07-05,26-35,Married,0.0,2,,1.0,61345,2013-05-22,1,213.36,-106.86,-35.62,914,Established,Grocery
30837,25532,13,773,1496,1,X,2013-05-19,2013-07-05,26-35,Married,0.0,2,,1.0,61345,2013-05-22,1,213.36,-106.86,-35.62,914,Established,Grocery
30861,25541,8,6,608,0,X,2013-02-16,2013-04-05,26-35,,0.0,2,,5.0,18973,2013-02-23,1,89.05,-28.14,0.0,350,Established,Grocery
30873,25541,8,6,608,0,X,2013-02-16,2013-04-05,26-35,,0.0,2,,5.0,67465,2013-02-23,1,106.86,-6.77,0.0,133,Established,Grocery
30888,25541,8,6,608,0,X,2013-02-16,2013-04-05,26-35,,0.0,2,,5.0,17384,2013-02-23,1,71.24,-26.71,0.0,1587,Established,Grocery
30914,25541,8,6,608,0,X,2013-02-16,2013-04-05,26-35,,0.0,2,,5.0,35442,2013-02-23,2,85.13,-85.13,0.0,714,Established,Grocery
30916,25541,8,6,608,0,X,2013-02-16,2013-04-05,26-35,,0.0,2,,5.0,8877,2013-02-23,1,78.01,0.0,0.0,1276,Established,Grocery
30937,25562,9,520,1403,0,Y,2013-03-11,2013-04-12,,,,,,,7035,2013-03-21,1,89.05,-10.33,0.0,278,Established,Grocery
30939,25562,9,520,1403,0,Y,2013-03-11,2013-04-12,,,,,,,27633,2013-04-05,2,178.1,-20.66,0.0,278,Established,Grocery
30941,25564,29,443,555,0,Y,2012-10-08,2012-11-30,,,,,,,67509,2012-11-12,2,227.26,0.0,0.0,133,Established,Grocery
30942,25564,29,443,555,0,Y,2012-10-08,2012-11-30,,,,,,,67509,2012-11-21,1,106.86,-6.77,0.0,133,Established,Grocery
30943,25564,29,443,555,0,Y,2012-10-08,2012-11-30,,,,,,,67509,2012-11-26,1,106.86,-6.77,0.0,133,Established,Grocery
30949,25564,29,443,555,0,Y,2012-10-08,2012-11-30,,,,,,,67577,2012-10-29,2,213.01,0.0,0.0,133,Established,Grocery
30950,25564,29,443,555,0,Y,2012-10-08,2012-11-30,,,,,,,67577,2012-11-04,3,319.51,0.0,0.0,133,Established,Grocery
30951,25564,29,443,555,0,Y,2012-10-08,2012-11-30,,,,,,,67577,2012-11-10,1,113.63,0.0,0.0,133,Established,Grocery
30952,25564,29,443,555,0,Y,2012-10-08,2012-11-30,,,,,,,67577,2012-11-12,2,227.26,0.0,0.0,133,Established,Grocery
30953,25564,29,443,555,0,Y,2012-10-08,2012-11-30,,,,,,,67577,2012-11-15,1,113.63,0.0,0.0,133,Established,Grocery
30954,25564,29,443,555,0,Y,2012-10-08,2012-11-30,,,,,,,67577,2012-11-21,2,213.72,-13.54,0.0,133,Established,Grocery
30955,25564,29,443,555,0,Y,2012-10-08,2012-11-30,,,,,,,67577,2012-11-26,2,213.72,-13.54,0.0,133,Established,Grocery
30979,25566,12,1063,484,0,Y,2013-04-22,2013-05-24,,,,,,,36759,2013-04-25,1,35.62,-28.14,0.0,1953,Established,Grocery
30993,25586,13,467,501,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,37365,2013-06-03,1,44.52,-47.73,0.0,172,Established,Grocery
30994,25586,13,467,501,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,50773,2013-06-03,1,44.52,-47.73,0.0,172,Established,Grocery
30995,25586,13,467,501,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,5.0,16260,2013-06-03,1,44.52,-47.73,0.0,172,Established,Grocery
30996,25595,29,418,1398,0,Y,2012-10-08,2012-11-30,36-45,Single,0.0,1,,2.0,9035,2012-11-20,1,35.26,-10.69,0.0,89,Established,Grocery
30997,25608,30,510,1387,1,X,2012-11-19,2013-01-04,46-55,,0.0,1,,1.0,24698,2012-11-23,1,213.36,0.0,-35.62,241,Established,Seafood
30998,25608,30,510,1387,1,X,2012-11-19,2013-01-04,46-55,,0.0,1,,1.0,24698,2012-11-23,1,213.36,0.0,-35.62,241,Established,Seafood
31026,25683,13,144,939,0,X,2013-05-19,2013-07-05,70+,Single,0.0,1,,3.0,9617,2013-05-23,1,67.32,0.0,0.0,56,Local,Grocery
31051,35933,5,934,737,0,Y,2013-01-12,2013-02-15,36-45,Single,0.0,4,3+,4.0,6217,2013-01-25,2,29.92,0.0,0.0,1149,Established,Pharmaceutical
31052,35933,5,934,737,0,Y,2013-01-12,2013-02-15,36-45,Single,0.0,4,3+,4.0,6217,2013-02-09,2,29.92,0.0,0.0,1149,Established,Pharmaceutical
31065,35933,5,934,737,0,Y,2013-01-12,2013-02-15,36-45,Single,0.0,4,3+,4.0,6458,2013-01-25,2,29.92,0.0,0.0,1149,Established,Pharmaceutical
31066,35933,5,934,737,0,Y,2013-01-12,2013-02-15,36-45,Single,0.0,4,3+,4.0,6458,2013-02-09,2,29.92,0.0,0.0,1149,Established,Pharmaceutical
31085,35933,5,934,737,0,Y,2013-01-12,2013-02-15,36-45,Single,0.0,4,3+,4.0,6867,2013-01-25,2,29.92,0.0,0.0,1149,Established,Pharmaceutical
31086,35933,5,934,737,0,Y,2013-01-12,2013-02-15,36-45,Single,0.0,4,3+,4.0,6867,2013-02-09,2,29.92,0.0,0.0,1149,Established,Pharmaceutical
31104,35933,5,934,737,0,Y,2013-01-12,2013-02-15,36-45,Single,0.0,4,3+,4.0,7540,2013-01-25,2,29.92,0.0,0.0,1149,Established,Pharmaceutical
31105,35933,5,934,737,0,Y,2013-01-12,2013-02-15,36-45,Single,0.0,4,3+,4.0,7540,2013-02-09,2,29.92,0.0,0.0,1149,Established,Pharmaceutical
31116,35933,5,934,737,0,Y,2013-01-12,2013-02-15,36-45,Single,0.0,4,3+,4.0,9707,2013-02-09,2,29.92,0.0,0.0,1149,Established,Pharmaceutical
31151,35933,5,934,737,0,Y,2013-01-12,2013-02-15,36-45,Single,0.0,4,3+,4.0,16790,2013-01-25,2,29.92,0.0,0.0,1149,Established,Pharmaceutical
31152,35933,5,934,737,0,Y,2013-01-12,2013-02-15,36-45,Single,0.0,4,3+,4.0,16790,2013-02-09,2,29.92,0.0,0.0,1149,Established,Pharmaceutical
31167,35933,5,934,737,0,Y,2013-01-12,2013-02-15,36-45,Single,0.0,4,3+,4.0,21702,2013-01-25,2,29.92,0.0,0.0,1149,Established,Pharmaceutical
31192,35933,5,934,737,0,Y,2013-01-12,2013-02-15,36-45,Single,0.0,4,3+,4.0,28354,2013-01-25,2,29.92,0.0,0.0,1149,Established,Pharmaceutical
31195,25761,10,934,737,0,Y,2013-04-08,2013-05-10,36-45,Single,0.0,4,3+,4.0,30462,2013-04-29,3,44.88,0.0,0.0,1149,Established,Pharmaceutical
31197,35933,5,934,737,0,Y,2013-01-12,2013-02-15,36-45,Single,0.0,4,3+,4.0,30462,2013-02-09,1,14.96,0.0,0.0,1149,Established,Pharmaceutical
31211,35933,5,934,737,0,Y,2013-01-12,2013-02-15,36-45,Single,0.0,4,3+,4.0,35326,2013-01-25,2,29.92,0.0,0.0,1149,Established,Pharmaceutical
31212,35933,5,934,737,0,Y,2013-01-12,2013-02-15,36-45,Single,0.0,4,3+,4.0,35326,2013-02-09,2,29.92,0.0,0.0,1149,Established,Pharmaceutical
